0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.05999811,0.41000304,-1.4300064,0.11999964,-0.2199974,0.62999046,0.8099904,0.25000545,-0.800001,0.38000366,-0.43999827,0.45000565,-0.5099978,0.680002,-0.6300013,-0.1999937,0.41999927,0.93998575,-0.57000303,-1.8000014
-0.08999498,-0.0499982,-0.38999656,0.2800004,-0.5600005,1.3400506,1.1799935,0.0899994,-0.17999712,-0.009998776,-0.039994806,-0.01999534,-0.4799995,-0.31999877,-1.0300086,0.010007672,0.87998796,1.2399944,-1.260001,-1.4800019
-0.5699979,0.12000267,-1.7200018,0.4300019,-0.70999837,0.8299896,0.37000385,0.24000172,-0.7499981,0.5599931,-0.21000126,0.3600042,0.4500019,-0.17999804,-0.46999928,0.07000582,0.12000549,0.230006,-1.5200016,-1.5099996
-0.040004022,-0.2799969,0.0099971965,-0.38999814,-0.46999824,0.060005046,0.40999797,-0.019996144,0.74001294,0.18000278,-0.06999724,0.5700033,-1.469999,0.38999912,-0.88000494,0.08000576,0.47999486,0.3400043,-1.349999,-1.1599993
-0.6399992,-0.2999993,-0.53,-0.43999892,-0.5299978,1.2099972,1.4899917,0.44000438,-0.46999684,0.880002,-0.3799979,0.6700004,-0.6999988,-0.12999877,-0.790006,0.6399944,-0.009997383,1.199986,-2.3099997,-0.61999947
-1.1500028,-0.3599989,-0.5800003,-0.52999747,-0.919999,0.30000278,0.120003,-0.20999835,0.5299935,0.2400019,-0.84999853,1.250009,-0.6399992,-0.16999862,-1.3,-0.30999708,0.15000339,0.61999756,-2.6199996,-0.5099988
0.18000415,-0.6199985,-0.31999683,-0.099997655,-0.82000196,1.0700588,0.9199893,-0.0099929515,-0.6399992,-0.04999485,-0.40999582,-0.3799936,-1.0200008,-0.3199968,0.13000105,0.5300027,0.42999592,0.81999415,-1.219999,-0.76000154
0.1600028,-0.42999572,-1.1200002,-0.94999903,-1.2299986,1.0299902,1.1600032,0.24000627,0.5300027,0.38000348,-0.2699995,0.45000225,-1.8999989,-0.23999998,-0.93000597,-0.14999437,-0.24999326,0.40000317,-2.2,-1.4000001
0.5099992,-0.4999959,-0.7699999,-1.3199952,-1.3799987,0.4899964,0.5699918,-0.26999778,0.22999933,0.3600037,-0.13999689,0.4000048,-1.3599983,0.26000258,-1.0400033,0.18000564,-0.02999667,-0.049995013,-2.3100004,-0.3300004
-0.049997248,0.010003779,-0.6400065,0.61000043,-0.17999867,0.41000617,0.690001,-0.3600013,0.060005326,0.72000045,0.41000316,0.47000554,0.5900009,0.060001668,0.10999199,-0.13999443,0.60000247,0.70999897,-1.2500026,-0.86999875
